,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni-L,Zn,Ti,B,Be,Bi,Ca,Cd,Ga,Hg,In,Na,P,Pb,Sn,Sr,V,Zr,Ecorr[mV]
1296,96.15,1.578,0.219,0.077,1.743,0.006,0.0,0.006,0.005,0.025,0.002,0.0,0.0,0.0,0.0,0.011,0.0001,0.0,0.0,0.002,0.026,0.015,0.0,0.02,0.118,-722.698467072526
1297,96.15,1.55,0.223,0.076,1.743,0.007,0.0,0.007,0.005,0.026,0.0018,0.0,0.0,0.0,0.0,0.011,0.0002,0.0,0.0,0.002,0.036,0.019,0.0,0.025,0.118,-722.637992050636
1298,96.16,1.567,0.221,0.077,1.741,0.008,0.0,0.007,0.007,0.025,0.0017,0.0,0.0,0.0,0.0,0.012,0.0003,0.0,0.0,0.002,0.032,0.01,0.0,0.022,0.111,-722.576039853837
1299,96.16,1.572,0.219,0.079,1.741,0.009,0.001,0.006,0.005,0.023,0.0018,0.0001,0.0,0.0,0.0,0.011,0.0001,0.0,0.0,0.002,0.029,0.001,0.0,0.02,0.12,-722.501863359187
1300,96.15,1.553,0.223,0.08,1.747,0.009,0.0,0.007,0.006,0.025,0.0019,0.0001,0.0,0.0,0.0,0.012,0.0009,0.0,0.0,0.002,0.032,0.007,0.0,0.024,0.121,-722.436707559857
1301,96.15,1.558,0.225,0.081,1.75,0.005,0.0,0.007,0.007,0.024,0.0021,0.0,0.0,0.0,0.0,0.011,0.0019,0.0,0.0,0.002,0.025,0.011,0.0,0.024,0.118,-722.370008146939
1302,96.17,1.543,0.221,0.08,1.749,0.007,0.0,0.006,0.005,0.025,0.0019,0.0,0.0,0.0,0.0,0.012,0.0014,0.0,0.0,0.002,0.026,0.008,0.0,0.02,0.118,-722.301826881139
1303,96.17,1.552,0.216,0.082,1.746,0.006,0.001,0.006,0.005,0.025,0.002,0.0,0.0,0.0,0.0,0.013,0.001,0.0,0.0,0.002,0.032,0.004,0.0,0.02,0.115,-722.220454500966
1304,96.16,1.542,0.218,0.08,1.752,0.008,0.0,0.006,0.006,0.026,0.0018,0.0001,0.0,0.0,0.0,0.011,0.002,0.0,0.0,0.002,0.032,0.014,0.0,0.02,0.116,-722.149202510988
1305,96.16,1.54,0.223,0.08,1.756,0.009,0.0,0.005,0.009,0.025,0.0016,0.0,0.0,0.0,0.0,0.011,0.0023,0.0,0.0,0.002,0.029,0.01,0.0,0.022,0.114,-722.076404673688
1306,96.18,1.54,0.221,0.08,1.746,0.009,0.0,0.007,0.007,0.022,0.0017,0.0,0.0,0.0,0.0,0.011,0.0001,0.0,0.0,0.002,0.024,0.004,0.0,0.023,0.119,-721.989642902973
1307,96.15,1.551,0.222,0.082,1.749,0.009,0.0,0.007,0.005,0.025,0.0015,0.0,0.0,0.0,0.0,0.01,0.0005,0.0,0.0,0.002,0.035,0.005,0.0,0.021,0.122,-721.913572381639
1308,96.14,1.547,0.225,0.083,1.752,0.008,0.0,0.007,0.008,0.025,0.0018,0.0001,0.0,0.0,0.0,0.011,0.0008,0.0,0.0,0.002,0.035,0.013,0.0,0.023,0.12,-721.836023961383
1309,96.15,1.549,0.224,0.082,1.752,0.008,0.0,0.006,0.01,0.023,0.0017,0.0,0.0,0.0,0.0,0.012,0.0015,0.0,0.0,0.002,0.028,0.011,0.0,0.022,0.118,-721.756999004015
1310,96.14,1.55,0.223,0.083,1.761,0.007,0.0,0.007,0.008,0.025,0.0016,0.0,0.0,0.0,0.0,0.011,0.0023,0.0,0.0,0.002,0.021,0.013,0.0,0.026,0.117,-721.662991267188
1311,96.16,1.537,0.226,0.083,1.758,0.006,0.0,0.007,0.006,0.023,0.0016,0.0,0.0,0.0,0.0,0.012,0.0008,0.0,0.0,0.002,0.032,0.007,0.0,0.021,0.117,-721.580853317865
1312,96.16,1.525,0.225,0.084,1.764,0.007,0.0,0.006,0.007,0.024,0.0014,0.0,0.001,0.0,0.0,0.013,0.0011,0.0,0.0,0.002,0.04,0.001,0.0,0.022,0.121,-721.49716625638
1313,96.16,1.517,0.226,0.086,1.767,0.007,0.0,0.007,0.007,0.024,0.0014,0.0,0.0,0.0,0.0,0.013,0.0021,0.0,0.0,0.002,0.031,0.0,0.0,0.022,0.124,-721.412010467065
1314,96.16,1.522,0.23,0.085,1.768,0.007,0.0,0.007,0.005,0.027,0.002,0.0,0.0,0.0,0.0,0.012,0.001,0.0,0.0,0.002,0.027,0.003,0.0,0.02,0.126,-721.310864974017
1315,96.12,1.542,0.235,0.085,1.775,0.008,0.001,0.007,0.005,0.026,0.0018,0.0001,0.0,0.0,0.0,0.012,0.0024,0.0,0.0,0.002,0.029,0.005,0.0,0.022,0.123,-721.222536317177
1316,96.12,1.54,0.233,0.087,1.775,0.01,0.0,0.007,0.009,0.027,0.002,0.0,0.0,0.0,0.0,0.012,0.0021,0.0,0.0,0.002,0.032,0.004,0.0,0.02,0.121,-721.132660280993
1317,96.16,1.511,0.227,0.088,1.772,0.008,0.0,0.007,0.008,0.025,0.0016,0.0,0.0,0.0,0.0,0.012,0.002,0.0,0.0,0.002,0.027,0.012,0.0,0.021,0.116,-721.026033218281
1318,96.15,1.506,0.23,0.088,1.77,0.009,0.0,0.006,0.008,0.024,0.0016,0.0,0.0,0.0,0.0,0.012,0.0021,0.0,0.0001,0.002,0.021,0.019,0.0,0.024,0.122,-720.933088313057
1319,96.18,1.502,0.235,0.088,1.766,0.009,0.0,0.007,0.006,0.024,0.0015,0.0,0.0,0.0,0.0,0.013,0.0001,0.0,0.0,0.002,0.023,0.007,0.0,0.023,0.117,-720.838601783752
1320,96.15,1.502,0.234,0.088,1.787,0.008,0.001,0.007,0.008,0.023,0.0016,0.0,0.0,0.0,0.0,0.011,0.0012,0.0,0.0,0.002,0.027,0.007,0.0,0.023,0.116,-720.742758426157
1321,96.16,1.512,0.23,0.089,1.774,0.008,0.0,0.007,0.006,0.022,0.0014,0.0,0.0,0.0,0.0,0.011,0.0006,0.0,0.0,0.002,0.03,0.008,0.0,0.023,0.116,-720.629180616219
1322,96.15,1.503,0.231,0.089,1.772,0.009,0.0,0.007,0.007,0.025,0.0018,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.002,0.033,0.015,0.0,0.023,0.117,-720.530121237925
1323,96.16,1.498,0.23,0.089,1.778,0.01,0.0,0.007,0.007,0.025,0.0016,0.0001,0.0,0.0,0.0,0.01,0.002,0.0,0.0,0.002,0.032,0.005,0.0,0.021,0.122,-720.429625069847
1324,96.16,1.496,0.23,0.09,1.772,0.009,0.0,0.007,0.007,0.026,0.0016,0.0,0.001,0.0,0.0,0.011,0.0009,0.0,0.0001,0.002,0.032,0.009,0.0,0.021,0.126,-720.327598111179
1325,96.15,1.5,0.233,0.09,1.786,0.009,0.0,0.007,0.007,0.027,0.0017,0.0,0.0,0.0,0.0,0.012,0.0006,0.0,0.0,0.002,0.03,0.007,0.0,0.022,0.119,-720.206958996596
1326,96.16,1.487,0.232,0.09,1.787,0.01,0.0,0.007,0.006,0.027,0.0018,0.0001,0.0,0.0,0.0,0.013,0.0008,0.0,0.0,0.002,0.035,0.006,0.0,0.02,0.116,-720.101942761522
1327,96.14,1.504,0.23,0.092,1.787,0.009,0.0,0.007,0.006,0.027,0.0018,0.0001,0.0,0.0,0.0,0.013,0.0006,0.0,0.0,0.002,0.041,0.005,0.0,0.02,0.118,-719.995612072155
1328,96.16,1.49,0.233,0.093,1.789,0.007,0.0,0.007,0.007,0.025,0.0015,0.0,0.0,0.0,0.0,0.012,0.0001,0.0,0.0001,0.002,0.039,0.003,0.0,0.022,0.112,-719.869744022846
1329,96.16,1.494,0.231,0.094,1.785,0.007,0.0,0.007,0.008,0.024,0.0015,0.0,0.001,0.0,0.0,0.012,0.0001,0.0,0.0,0.002,0.033,0.005,0.0,0.02,0.116,-719.760260560879
1330,96.16,1.482,0.229,0.094,1.791,0.005,0.0,0.007,0.009,0.024,0.0019,0.0,0.0,0.0,0.0,0.012,0.0015,0.0,0.0,0.0021,0.034,0.007,0.0,0.023,0.118,-719.649376960079
1331,96.14,1.476,0.232,0.094,1.799,0.007,0.0,0.007,0.008,0.026,0.0017,0.0,0.0,0.0,0.0,0.012,0.0009,0.0,0.0,0.002,0.032,0.019,0.0,0.024,0.119,-719.537098982137
1332,96.16,1.46,0.232,0.094,1.79,0.01,0.001,0.008,0.006,0.025,0.0019,0.0,0.0,0.0,0.0,0.013,0.001,0.0,0.0,0.002,0.039,0.009,0.0,0.025,0.123,-719.404225430226
1333,96.16,1.478,0.232,0.095,1.786,0.008,0.001,0.007,0.009,0.024,0.0019,0.0001,0.0,0.0,0.0,0.012,0.0005,0.0,0.0001,0.002,0.035,0.005,0.0,0.021,0.123,-719.28883419303
1334,96.17,1.471,0.233,0.097,1.793,0.008,0.001,0.007,0.008,0.024,0.0018,0.0,0.0,0.0,0.0,0.013,0.0012,0.0,0.0,0.002,0.032,0.006,0.0,0.021,0.116,-719.172177885073
1335,96.16,1.459,0.237,0.094,1.787,0.008,0.0,0.007,0.006,0.027,0.0015,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.002,0.05,0.013,0.0,0.026,0.114,-719.054153143342
1336,96.15,1.469,0.231,0.095,1.787,0.008,0.0,0.007,0.01,0.026,0.0018,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.002,0.041,0.016,0.0,0.025,0.12,-718.914602428778
1337,96.16,1.47,0.232,0.097,1.781,0.009,0.0,0.008,0.008,0.025,0.0018,0.0,0.0,0.0,0.0,0.013,0.001,0.0,0.0,0.002,0.037,0.009,0.0,0.023,0.124,-718.793634381174
1338,96.19,1.459,0.235,0.096,1.785,0.008,0.0,0.008,0.009,0.026,0.0021,0.0,0.0,0.0,0.0,0.012,0.0028,0.0,0.0001,0.002,0.025,0.007,0.0,0.024,0.113,-718.671201736726
1339,96.17,1.45,0.232,0.098,1.794,0.008,0.0,0.007,0.006,0.025,0.0023,0.0,0.0,0.0,0.0,0.012,0.0012,0.0,0.0,0.002,0.03,0.018,0.0,0.024,0.115,-718.526906828824
1340,96.19,1.444,0.228,0.1,1.788,0.004,0.0,0.006,0.005,0.027,0.0021,0.0,0.0,0.0,0.0,0.012,0.0028,0.0,0.0,0.002,0.029,0.015,0.0,0.021,0.119,-718.40157841264
1341,96.21,1.419,0.23,0.1,1.795,0.006,0.0,0.007,0.007,0.025,0.0022,0.0,0.0,0.0,0.0,0.011,0.0014,0.0,0.0,0.002,0.035,0.01,0.0,0.022,0.121,-718.275046196899
1342,96.19,1.451,0.233,0.097,1.784,0.007,0.0,0.008,0.006,0.025,0.0022,0.0,0.0,0.0,0.0,0.012,0.0005,0.0,0.0,0.002,0.033,0.012,0.0,0.02,0.118,-718.14707532663
1343,96.19,1.441,0.23,0.1,1.791,0.009,0.0,0.007,0.006,0.026,0.0021,0.0,0.001,0.0,0.0,0.012,0.0,0.0,0.0,0.002,0.03,0.012,0.0,0.019,0.119,-717.996245485555
1344,96.2,1.437,0.228,0.1,1.795,0.007,0.001,0.008,0.005,0.026,0.0018,0.0001,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.002,0.026,0.005,0.0,0.021,0.122,-717.865447740533
1345,96.19,1.432,0.235,0.1,1.794,0.01,0.0,0.007,0.008,0.022,0.0017,0.0,0.0,0.0,0.0,0.012,0.0001,0.0,0.0,0.002,0.045,0.006,0.0,0.023,0.117,-717.7333577531
1346,96.19,1.426,0.235,0.1,1.794,0.008,0.0,0.007,0.008,0.026,0.0017,0.0001,0.0,0.0,0.0,0.012,0.0017,0.0,0.0001,0.0021,0.039,0.009,0.0,0.02,0.118,-717.599855626343
1347,96.19,1.426,0.235,0.102,1.803,0.009,0.0,0.007,0.006,0.024,0.0017,0.0001,0.0,0.0,0.0,0.013,0.0022,0.0,0.0,0.002,0.031,0.009,0.0,0.023,0.122,-717.442510673733
1348,96.19,1.426,0.238,0.101,1.807,0.009,0.0,0.007,0.006,0.023,0.0017,0.0001,0.002,0.0,0.0,0.014,0.0009,0.0,0.0,0.002,0.021,0.009,0.0,0.021,0.126,-717.306382805132
1349,96.19,1.422,0.235,0.103,1.811,0.008,0.001,0.007,0.008,0.023,0.0018,0.0,0.0,0.0,0.0,0.012,0.0009,0.0,0.0001,0.002,0.028,0.004,0.0,0.02,0.125,-717.168999053786
1350,96.19,1.423,0.233,0.105,1.805,0.007,0.001,0.008,0.008,0.023,0.0016,0.0,0.0,0.0,0.0,0.011,0.0015,0.0,0.0001,0.002,0.03,0.007,0.0,0.023,0.124,-717.030235168683
1351,96.19,1.418,0.237,0.105,1.805,0.005,0.001,0.006,0.008,0.024,0.0016,0.0,0.001,0.0,0.0,0.012,0.0018,0.0,0.0,0.002,0.031,0.012,0.0,0.025,0.117,-716.866934849124
1352,96.19,1.413,0.232,0.104,1.8,0.008,0.0,0.007,0.007,0.026,0.0021,0.0001,0.002,0.0,0.0,0.013,0.0025,0.0,0.0001,0.0021,0.037,0.008,0.0,0.027,0.122,-716.725498016781
1353,96.23,1.396,0.235,0.106,1.789,0.01,0.0,0.007,0.006,0.028,0.0017,0.0,0.0,0.0,0.0,0.012,0.0022,0.0,0.0001,0.002,0.031,0.001,0.0,0.023,0.12,-716.582842055332
1354,96.23,1.388,0.234,0.106,1.797,0.009,0.0,0.007,0.006,0.027,0.0016,0.0,0.0,0.0,0.0,0.012,0.0006,0.0,0.0,0.002,0.031,0.001,0.0,0.02,0.125,-716.414905409954
1355,96.24,1.38,0.231,0.106,1.802,0.007,0.0,0.008,0.007,0.026,0.0017,0.0,0.001,0.0,0.0,0.013,0.0,0.0,0.0,0.002,0.034,0.002,0.0,0.02,0.123,-716.26964200681
1356,96.22,1.385,0.235,0.105,1.807,0.009,0.0,0.008,0.008,0.024,0.0015,0.0001,0.001,0.0,0.0,0.013,0.0001,0.0,0.0001,0.002,0.036,0.003,0.0,0.021,0.12,-716.123191014448
1357,96.2,1.403,0.235,0.107,1.809,0.011,0.0,0.007,0.008,0.022,0.0019,0.0,0.0,0.0,0.0,0.012,0.0003,0.0,0.0,0.002,0.041,0.006,0.0,0.022,0.115,-715.97570453211
1358,96.19,1.398,0.238,0.109,1.807,0.009,0.0,0.007,0.007,0.024,0.0016,0.0001,0.0,0.0,0.0,0.012,0.0007,0.0,0.0001,0.002,0.049,0.007,0.0,0.02,0.115,-715.802022549645
1359,96.2,1.386,0.24,0.109,1.817,0.009,0.0,0.007,0.007,0.024,0.0014,0.0,0.0,0.0,0.0,0.013,0.0013,0.0,0.0001,0.002,0.038,0.006,0.0,0.021,0.121,-715.651880576265
1360,96.19,1.391,0.237,0.109,1.808,0.007,0.0,0.008,0.008,0.024,0.0014,0.0,0.0,0.0,0.0,0.014,0.0028,0.0,0.0001,0.002,0.032,0.019,0.0,0.022,0.125,-715.500594739428
1361,96.17,1.402,0.236,0.111,1.811,0.011,0.001,0.007,0.007,0.025,0.0014,0.0,0.0,0.0,0.0,0.014,0.0016,0.0,0.0001,0.0021,0.035,0.018,0.0,0.024,0.121,-715.348029508761
1362,96.18,1.4,0.238,0.108,1.815,0.012,0.0,0.008,0.007,0.024,0.0014,0.0,0.0,0.0,0.0,0.013,0.0013,0.0,0.0001,0.002,0.03,0.014,0.0,0.022,0.121,-715.168370670936
1363,96.21,1.377,0.238,0.11,1.819,0.008,0.001,0.007,0.006,0.022,0.0013,0.0,0.0,0.0,0.0,0.013,0.0005,0.0,0.0001,0.002,0.035,0.007,0.0,0.021,0.118,-715.013382185669
1364,96.21,1.378,0.24,0.112,1.819,0.007,0.0,0.008,0.009,0.021,0.0016,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0002,0.002,0.033,0.009,0.0,0.021,0.114,-714.857443709541
1365,96.19,1.395,0.237,0.114,1.817,0.011,0.0,0.007,0.009,0.025,0.0014,0.0,0.001,0.0,0.0,0.012,0.0007,0.0,0.0002,0.002,0.032,0.008,0.0,0.023,0.115,-714.699966691002
1366,96.21,1.365,0.238,0.111,1.82,0.01,0.001,0.007,0.009,0.027,0.0014,0.0,0.0,0.0,0.0,0.013,0.0024,0.0,0.0001,0.002,0.032,0.015,0.0,0.022,0.119,-714.515283611475
1367,96.23,1.366,0.234,0.113,1.807,0.009,0.001,0.007,0.008,0.024,0.0015,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0002,0.002,0.033,0.015,0.0,0.022,0.118,-714.355788493498
1368,96.23,1.375,0.236,0.111,1.808,0.007,0.0,0.007,0.008,0.023,0.0015,0.0,0.0,0.0,0.0,0.013,0.0004,0.0,0.0,0.002,0.032,0.008,0.0,0.021,0.119,-714.195088306275
1369,96.24,1.362,0.239,0.112,1.803,0.009,0.0,0.007,0.008,0.023,0.0019,0.0,0.0,0.0,0.0,0.012,0.0019,0.0,0.0,0.002,0.031,0.004,0.0,0.023,0.12,-714.033502041085
1370,96.24,1.35,0.237,0.114,1.809,0.011,0.0,0.007,0.009,0.024,0.0018,0.0001,0.0,0.0,0.0,0.013,0.0008,0.0,0.0,0.002,0.036,0.007,0.0,0.023,0.116,-713.843739703726
1371,96.27,1.32,0.239,0.114,1.804,0.01,0.0,0.007,0.006,0.025,0.0016,0.0,0.001,0.0,0.0,0.013,0.0013,0.0,0.0001,0.002,0.034,0.005,0.0,0.021,0.123,-713.679944250323
1372,96.26,1.337,0.237,0.117,1.798,0.008,0.0,0.008,0.006,0.023,0.0014,0.0001,0.001,0.0,0.0,0.013,0.0028,0.0,0.0001,0.002,0.031,0.015,0.0,0.022,0.117,-713.515148581245
1373,96.26,1.332,0.232,0.116,1.802,0.008,0.001,0.007,0.008,0.022,0.0016,0.0,0.0,0.0,0.0,0.013,0.0016,0.0,0.0001,0.002,0.035,0.013,0.0,0.023,0.12,-713.349206258205
1374,96.26,1.347,0.236,0.115,1.798,0.009,0.0,0.006,0.009,0.025,0.0015,0.0,0.0,0.0,0.0,0.013,0.0006,0.0,0.0001,0.002,0.034,0.006,0.0,0.021,0.121,-713.154773182364
1375,96.27,1.324,0.236,0.116,1.798,0.008,0.0,0.008,0.005,0.026,0.0016,0.0,0.0,0.0,0.0,0.014,0.0001,0.0,0.0001,0.002,0.036,0.007,0.0,0.021,0.127,-712.986893648809
1376,96.26,1.33,0.235,0.117,1.8,0.01,0.0,0.007,0.005,0.025,0.0017,0.0,0.003,0.0,0.0,0.014,0.0001,0.0,0.0001,0.002,0.03,0.005,0.0,0.021,0.129,-712.818066851133
1377,96.27,1.324,0.232,0.118,1.8,0.011,0.0,0.007,0.008,0.024,0.0017,0.0,0.001,0.0,0.0,0.013,0.0004,0.0,0.0002,0.002,0.031,0.012,0.0,0.024,0.12,-712.648305796602
1378,96.27,1.331,0.233,0.117,1.799,0.01,0.001,0.007,0.009,0.023,0.0021,0.0,0.001,0.0,0.0,0.013,0.0009,0.0,0.0002,0.002,0.031,0.003,0.0,0.022,0.122,-712.44897877311
1379,96.31,1.31,0.236,0.116,1.789,0.008,0.001,0.007,0.008,0.025,0.0021,0.0,0.0,0.0,0.0,0.013,0.0021,0.0,0.0002,0.002,0.033,0.003,0.0,0.022,0.118,-712.277073457493
1380,96.31,1.31,0.236,0.118,1.785,0.008,0.001,0.008,0.009,0.024,0.0019,0.0001,0.0,0.0,0.0,0.012,0.0008,0.0,0.0,0.002,0.038,0.0,0.0,0.02,0.114,-712.104108652676
1381,96.28,1.313,0.235,0.12,1.795,0.012,0.001,0.007,0.011,0.027,0.0016,0.0,0.001,0.0,0.0,0.013,0.0019,0.0,0.0001,0.002,0.036,0.005,0.0,0.019,0.118,-711.93042795517
1382,96.32,1.298,0.232,0.122,1.79,0.011,0.0,0.007,0.009,0.023,0.0017,0.0,0.0,0.0,0.0,0.013,0.0007,0.0,0.0003,0.002,0.027,0.013,0.0,0.02,0.114,-711.72695664875
1383,96.3,1.297,0.232,0.124,1.788,0.011,0.001,0.007,0.009,0.025,0.0017,0.0,0.0,0.0,0.0,0.013,0.0017,0.0,0.0002,0.002,0.029,0.02,0.0,0.018,0.12,-711.551416197767
1384,96.31,1.305,0.226,0.123,1.79,0.01,0.001,0.007,0.008,0.025,0.0013,0.0,0.001,0.0,0.0,0.014,0.0003,0.0,0.0002,0.002,0.041,0.004,0.0,0.02,0.113,-711.374869794396
1385,96.29,1.291,0.226,0.125,1.792,0.011,0.0,0.007,0.009,0.025,0.0017,0.0,0.0,0.0,0.0,0.013,0.0008,0.0,0.0002,0.002,0.045,0.014,0.0,0.022,0.126,-711.197498659399
1386,96.34,1.276,0.227,0.123,1.78,0.009,0.0,0.007,0.008,0.026,0.0019,0.0,0.003,0.0,0.0,0.013,0.0005,0.0,0.0001,0.002,0.041,0.001,0.0,0.024,0.117,-710.989655751881
1387,96.33,1.287,0.227,0.124,1.779,0.009,0.001,0.007,0.008,0.025,0.0022,0.0001,0.002,0.0,0.0,0.014,0.0011,0.0,0.0001,0.002,0.03,0.011,0.0,0.022,0.123,-710.81071784871
1388,96.32,1.269,0.227,0.125,1.789,0.009,0.001,0.007,0.008,0.026,0.0022,0.0,0.0,0.0,0.0,0.013,0.0039,0.0,0.0001,0.002,0.035,0.016,0.0,0.022,0.125,-710.630829519914
1389,96.31,1.283,0.231,0.126,1.792,0.011,0.0,0.007,0.008,0.026,0.0021,0.0,0.0,0.0,0.0,0.012,0.0012,0.0,0.0001,0.002,0.042,0.007,0.0,0.023,0.122,-710.45017565357
1390,96.29,1.287,0.234,0.127,1.798,0.01,0.0,0.007,0.01,0.025,0.0022,0.0,0.001,0.0,0.0,0.013,0.0008,0.0,0.0001,0.002,0.041,0.013,0.0,0.021,0.123,-710.238580248036
1391,96.3,1.283,0.241,0.127,1.799,0.009,0.0,0.007,0.007,0.027,0.0022,0.0,0.0,0.0,0.0,0.014,0.0004,0.0,0.0001,0.002,0.044,0.0,0.0,0.022,0.118,-710.05631786572
1392,96.31,1.283,0.236,0.127,1.791,0.009,0.0,0.008,0.007,0.026,0.0022,0.0,0.0,0.0,0.0,0.014,0.0018,0.0,0.0001,0.002,0.04,0.004,0.0,0.02,0.116,-709.873335992046
1393,96.31,1.278,0.237,0.128,1.787,0.009,0.0,0.008,0.007,0.025,0.0016,0.0,0.001,0.0,0.0,0.013,0.003,0.0,0.0001,0.002,0.038,0.008,0.0,0.021,0.119,-709.689649348565
1394,96.32,1.274,0.231,0.127,1.793,0.011,0.001,0.008,0.007,0.026,0.0019,0.0,0.0,0.0001,0.0,0.014,0.0006,0.0,0.0,0.002,0.036,0.003,0.0,0.021,0.124,-709.474242115952
1395,96.33,1.255,0.236,0.131,1.792,0.009,0.001,0.007,0.012,0.024,0.002,0.0,0.0,0.0,0.0,0.013,0.0005,0.0,0.0001,0.002,0.036,0.006,0.0,0.022,0.117,-709.289078516504
1396,96.33,1.259,0.234,0.129,1.787,0.009,0.001,0.007,0.011,0.026,0.0017,0.0,0.0,0.0,0.0,0.014,0.0022,0.0,0.0002,0.002,0.035,0.013,0.0,0.023,0.12,-709.103257316951
1397,96.35,1.257,0.227,0.13,1.787,0.011,0.001,0.007,0.008,0.027,0.0015,0.0001,0.0,0.0,0.0,0.013,0.0016,0.0,0.0002,0.002,0.027,0.007,0.0,0.02,0.123,-708.916437116825
1398,96.35,1.252,0.231,0.131,1.788,0.012,0.001,0.008,0.007,0.027,0.002,0.0,0.0,0.0,0.0,0.013,0.0012,0.0,0.0002,0.002,0.026,0.005,0.0,0.022,0.122,-708.729165943382
1399,96.36,1.238,0.235,0.132,1.783,0.01,0.0,0.007,0.006,0.028,0.0014,0.0,0.0,0.0,0.0,0.014,0.0008,0.0,0.0002,0.0021,0.034,0.013,0.0,0.021,0.115,-708.510058348487
1400,96.35,1.242,0.233,0.133,1.786,0.01,0.0,0.006,0.008,0.026,0.0018,0.0,0.0,0.0,0.0,0.015,0.001,0.0,0.0001,0.0021,0.048,0.004,0.0,0.019,0.119,-708.32147806998
1401,96.33,1.228,0.232,0.132,1.791,0.008,0.0,0.007,0.009,0.028,0.0019,0.0,0.0,0.0,0.0,0.014,0.0011,0.0,0.0001,0.002,0.057,0.01,0.0,0.023,0.126,-708.13231768896
1402,96.36,1.227,0.233,0.132,1.791,0.009,0.001,0.007,0.008,0.029,0.0014,0.0002,0.0,0.0,0.0,0.014,0.0005,0.0,0.0003,0.002,0.038,0.006,0.0,0.02,0.117,-707.942773789749
1403,96.36,1.227,0.235,0.133,1.794,0.009,0.001,0.007,0.006,0.028,0.0017,0.0,0.0,0.0,0.0,0.014,0.0008,0.0,0.0002,0.0021,0.031,0.009,0.0,0.019,0.118,-707.720523574514
1404,96.36,1.222,0.232,0.133,1.791,0.01,0.001,0.007,0.006,0.028,0.0014,0.0,0.0,0.0001,0.0,0.014,0.0007,0.0,0.0002,0.002,0.041,0.017,0.0,0.022,0.116,-707.52962840023
1405,96.38,1.223,0.233,0.132,1.783,0.01,0.001,0.007,0.007,0.027,0.0021,0.0,0.0,0.0,0.0,0.014,0.0018,0.0,0.0003,0.002,0.031,0.009,0.0,0.018,0.12,-707.338400657597
1406,96.36,1.218,0.234,0.137,1.787,0.009,0.001,0.008,0.007,0.029,0.0016,0.0,0.0,0.0,0.0,0.014,0.001,0.0,0.0003,0.002,0.042,0.004,0.0,0.022,0.119,-707.146491108414
1407,96.36,1.205,0.231,0.137,1.796,0.01,0.0,0.008,0.008,0.028,0.0014,0.0,0.0,0.0001,0.0,0.014,0.001,0.0,0.0002,0.002,0.049,0.012,0.0,0.022,0.113,-706.921771936333
1408,96.35,1.227,0.238,0.133,1.796,0.009,0.0,0.008,0.009,0.029,0.0014,0.0001,0.002,0.0001,0.0,0.013,0.0,0.0,0.0002,0.002,0.04,0.005,0.0,0.021,0.119,-706.728833622116
1409,96.36,1.222,0.235,0.136,1.787,0.008,0.0,0.008,0.01,0.03,0.0018,0.0,0.0,0.0,0.0,0.013,0.0012,0.0,0.0003,0.0021,0.042,0.014,0.0,0.02,0.11,-706.535445862912
1410,96.37,1.218,0.235,0.136,1.777,0.008,0.0,0.007,0.011,0.031,0.0021,0.0,0.0,0.0001,0.0,0.013,0.0023,0.0,0.0002,0.002,0.043,0.011,0.0,0.021,0.111,-706.341439622889
1411,96.38,1.211,0.238,0.138,1.779,0.009,0.001,0.008,0.009,0.029,0.0014,0.0,0.0,0.0001,0.0,0.013,0.0028,0.0,0.0003,0.002,0.045,0.001,0.0,0.023,0.114,-706.114756862479
1412,96.4,1.204,0.232,0.139,1.778,0.009,0.0,0.008,0.008,0.03,0.0018,0.0,0.0,0.0,0.0,0.013,0.0008,0.0,0.0002,0.002,0.038,0.001,0.0,0.022,0.115,-705.920236564718
1413,96.38,1.186,0.236,0.14,1.782,0.009,0.001,0.007,0.011,0.034,0.002,0.0002,0.0,0.0001,0.0,0.013,0.0001,0.0,0.0003,0.002,0.047,0.005,0.0,0.022,0.119,-705.725148097202
1414,96.36,1.195,0.239,0.139,1.783,0.01,0.0,0.007,0.01,0.034,0.0019,0.0,0.0,0.0001,0.0,0.013,0.0013,0.0,0.0003,0.002,0.047,0.016,0.0,0.025,0.116,-705.529693003166
1415,96.37,1.188,0.235,0.138,1.789,0.01,0.001,0.008,0.008,0.035,0.0021,0.0,0.0,0.0,0.0,0.014,0.0002,0.0,0.0002,0.002,0.049,0.011,0.0,0.022,0.115,-705.333700620625
1416,96.4,1.178,0.24,0.141,1.779,0.011,0.0,0.008,0.007,0.036,0.0014,0.0,0.0,0.0,0.0,0.014,0.0007,0.0,0.0002,0.0021,0.038,0.009,0.0,0.022,0.115,-705.104807899531
1417,96.39,1.175,0.236,0.142,1.78,0.013,0.0,0.007,0.008,0.038,0.0014,0.0001,0.0,0.0,0.0,0.015,0.0004,0.0,0.0002,0.0021,0.047,0.015,0.0,0.02,0.109,-704.908110786783
