,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni-L,Zn,Ti,B,Be,Bi,Ca,Cd,Ga,Hg,In,Na,P,Pb,Sn,Sr,V,Zr,Ecorr[mV]
27,88.85,10.644,0.164,0.117,0.167,0.009,0.002,0.004,0.005,0.0,0.0003,0.0,0.005,0.0,0.0,0.013,0.0005,0.0,0.0,0.002,0.001,0.001,0.0,0.012,0.001,-713.224343954392
28,89.1,10.407,0.159,0.116,0.165,0.008,0.002,0.004,0.006,0.001,0.0004,0.0,0.002,0.0,0.0,0.014,0.0008,0.0,0.0,0.002,0.0,0.006,0.0,0.007,0.001,-713.085169727038
29,89.41,10.11,0.149,0.115,0.166,0.008,0.002,0.004,0.003,0.001,0.0007,0.0,0.004,0.0,0.0,0.013,0.0003,0.0,0.0,0.002,0.0,0.001,0.0,0.008,0.0,-712.946518847529
30,89.65,9.877,0.148,0.115,0.159,0.008,0.002,0.005,0.003,0.0,0.0003,0.0,0.002,0.0,0.0,0.014,0.0006,0.0,0.0,0.0019,0.0,0.001,0.0,0.007,0.002,-712.814514680404
31,89.88,9.645,0.144,0.118,0.157,0.009,0.002,0.004,0.005,0.0,0.0007,0.0,0.004,0.0,0.0,0.014,0.0004,0.0,0.0,0.002,0.0,0.005,0.0,0.008,0.0,-712.694271851232
32,90.24,9.318,0.132,0.113,0.151,0.009,0.002,0.004,0.003,0.001,0.0001,0.0,0.002,0.0,0.0,0.015,0.0002,0.0,0.0,0.002,0.0,0.001,0.0,0.008,0.002,-712.574725173578
33,90.61,8.931,0.129,0.117,0.147,0.011,0.002,0.005,0.007,0.002,0.0001,0.0,0.001,0.0,0.0,0.015,0.0015,0.0,0.0,0.0019,0.0,0.008,0.0,0.009,0.001,-712.461665544477
34,90.99,8.576,0.122,0.114,0.146,0.01,0.002,0.004,0.004,0.001,0.0002,0.0,0.0,0.0,0.0,0.014,0.0004,0.0,0.0,0.002,0.0,0.003,0.0,0.01,0.001,-712.354710613434
35,91.29,8.275,0.121,0.117,0.145,0.01,0.002,0.004,0.007,0.002,0.0003,0.0,0.001,0.0,0.0,0.015,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.007,0.0,-712.258224290285
36,91.64,7.933,0.118,0.114,0.145,0.008,0.002,0.004,0.005,0.0,0.0003,0.0,0.0,0.0,0.0,0.014,0.0002,0.0,0.0,0.0019,0.0,0.0,0.0,0.009,0.001,-712.163143846808
37,92.02,7.544,0.118,0.113,0.146,0.008,0.002,0.005,0.006,0.002,0.0005,0.0,0.001,0.0,0.001,0.014,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.007,0.003,-712.073689853671
38,92.39,7.191,0.112,0.112,0.142,0.011,0.001,0.005,0.005,0.004,0.0002,0.0,0.001,0.0,0.0,0.015,0.0001,0.0,0.0,0.0019,0.001,0.0,0.0,0.008,0.0,-711.989916420739
39,92.75,6.841,0.106,0.112,0.141,0.008,0.002,0.005,0.008,0.001,0.0002,0.0001,0.0,0.0,0.0,0.016,0.0002,0.0,0.0,0.002,0.002,0.001,0.0,0.008,0.0,-711.911574603358
40,93.06,6.54,0.102,0.111,0.137,0.01,0.001,0.004,0.006,0.002,0.0002,0.0,0.0,0.0,0.0,0.016,0.0008,0.0,0.0,0.0019,0.0,0.0,0.0,0.007,0.002,-711.838592052372
