Proj no.;TO no.;Coil no.;Sample no.;WS;Brazed;Depth [μm];Unit;Al;Si;Fe;Cu;Mn;Mg;Cr;Ni-L;Ni-H;Zn;Ti;B;Be;Bi;Ca;Cd;Ga;Hg;In;Li;Na;P;Pb;Sn;Sr;V;Zr;
G17-0054;432431;S02798;P18-00305BL;0;1;12,4771;m%;97,66;1,834;0,08;0,1;0,27;0,011;0,002;0,004;0;0,006;0,011;0,0002;0;0;0;0;0,015;0,0002;0;0;0,0002;0,0019;0;0;0,0002;0,014;0,006;-712,4142395
G17-0054;432431;S02798;P18-00305BL;0;1;12,6271;m%;97,66;1,822;0,08;0,1;0,283;0,009;0,002;0,005;0;0,008;0,012;0;0;0;0;0;0,015;0,0006;0;0;0,0003;0,002;0;0,001;0,0001;0,013;0,009;-712,4845439
G17-0054;432431;S02798;P18-00305BL;0;1;12,7584;m%;97,68;1,798;0,081;0,1;0,293;0,01;0,001;0,005;0;0,007;0,01;0,0004;0;0;0;0;0,016;0,0003;0;0;0,0002;0,0019;0;0,003;0,0001;0,013;0,003;-712,547179
G17-0054;432431;S02798;P18-00305BL;0;1;12,9087;m%;97,67;1,789;0,082;0,1;0,305;0,012;0,001;0,004;0;0,007;0,01;0,0004;0;0;0;0;0,015;0;0;0;0,0002;0,002;0;0,002;0,0001;0,011;0,007;-712,6200703
G17-0054;432431;S02798;P18-00305BL;0;1;13,0592;m%;97,67;1,78;0,08;0,1;0,311;0,009;0,001;0,004;0;0,008;0,011;0,0002;0;0;0;0;0,017;0;0;0;0,0001;0,002;0;0;0;0,012;0,011;-712,6942678
G17-0054;432431;S02798;P18-00305BL;0;1;13,2096;m%;97,65;1,774;0,087;0,1;0,327;0,01;0,002;0,005;0;0,005;0,009;0,0006;0;0,001;0;0;0,015;0;0;0;0,0001;0,002;0,002;0;0;0,014;0,013;-712,7695566
G17-0054;432431;S02798;P18-00305BL;0;1;13,3414;m%;97,65;1,764;0,085;0,1;0,338;0,01;0,002;0,004;0;0,006;0,011;0,0003;0;0;0;0;0,016;0;0;0;0,0002;0,002;0,002;0;0;0,015;0,015;-712,8364185
G17-0054;432431;S02798;P18-00305BL;0;1;13,492;m%;97,65;1,754;0,085;0,1;0,361;0,011;0,002;0,004;0;0,006;0,011;0,0003;0;0;0;0;0,016;0;0;0;0,0001;0,002;0;0,002;0;0,012;0,01;-712,913769
G17-0054;432431;S02798;P18-00305BL;0;1;13,6429;m%;97,65;1,74;0,086;0,1;0,367;0,012;0,002;0,004;0;0,005;0,01;0,0005;0;0;0;0;0,015;0;0;0;0,0001;0,002;0,001;0,004;0,0001;0,013;0,014;-712,9922277
G17-0054;432431;S02798;P18-00305BL;0;1;13,7749;m%;97,64;1,724;0,087;0,1;0,389;0,013;0,002;0,005;0;0,006;0,011;0,0005;0;0;0;0;0,016;0;0;0;0,0002;0,002;0,001;0;0;0,014;0,017;-713,0615916
G17-0054;432431;S02798;P18-00305BL;0;1;13,9258;m%;97,63;1,708;0,088;0,1;0,407;0,009;0,002;0,004;0;0,008;0,011;0,0001;0;0;0;0;0,015;0,0008;0;0;0,0002;0,002;0;0,004;0,0001;0,014;0,016;-713,141666
G17-0054;432431;S02798;P18-00305BL;0;1;14,0769;m%;97,61;1,709;0,089;0,1;0,427;0,012;0,002;0,004;0;0,007;0,01;0,0004;0;0;0;0;0,015;0;0;0;0,0002;0,002;0,002;0;0,0002;0,015;0,016;-713,2226181
G17-0054;432431;S02798;P18-00305BL;0;1;14,209;m%;97,58;1,721;0,09;0,1;0,438;0,011;0,002;0,005;0;0,007;0,013;0,0003;0;0;0;0;0,014;0,0003;0;0;0,0003;0,002;0,002;0;0,0001;0,012;0,02;-713,2939742
G17-0054;432431;S02798;P18-00305BL;0;1;14,36;m%;97,58;1,689;0,098;0,1;0,46;0,013;0,001;0,005;0;0,008;0,012;0,0005;0;0;0;0;0,014;0,0001;0;0;0,0001;0,002;0,005;0;0,0001;0,012;0,02;-713,3761503
G17-0054;432431;S02798;P18-00305BL;0;1;14,5114;m%;97,54;1,694;0,1;0,1;0,484;0,011;0,001;0,005;0;0,006;0,01;0,0006;0;0;0;0;0,015;0;0;0;0,0002;0,002;0,007;0,004;0,0001;0,014;0,023;-713,4591395
G17-0054;432431;S02798;P18-00305BL;0;1;14,644;m%;97,54;1,688;0,102;0,1;0,499;0,009;0,002;0,004;0;0,007;0,01;0,0003;0;0,001;0;0;0,018;0;0;0;0,0002;0,002;0,003;0,003;0,0002;0,013;0,016;-713,5322656
G17-0054;432431;S02798;P18-00305BL;0;1;14,7955;m%;97,51;1,689;0,102;0,1;0,519;0,012;0,002;0,003;0;0,007;0,011;0,0006;0;0;0;0;0,014;0,0003;0;0;0,0003;0,002;0,005;0,007;0,0001;0,013;0,021;-713,6162661
